/lu_Condiment_Food_Row/condiment_added_sugars,/lu_Condiment_Food_Row/condiment_alcohol,/lu_Condiment_Food_Row/condiment_calories,/lu_Condiment_Food_Row/condiment_dkgreen,/lu_Condiment_Food_Row/condiment_drybeans_peas,/lu_Condiment_Food_Row/condiment_fruits,/lu_Condiment_Food_Row/condiment_grains,/lu_Condiment_Food_Row/condiment_meat,/lu_Condiment_Food_Row/condiment_milk,/lu_Condiment_Food_Row/condiment_oils,/lu_Condiment_Food_Row/condiment_orange,/lu_Condiment_Food_Row/condiment_other_vegetables,/lu_Condiment_Food_Row/condiment_portion_code,/lu_Condiment_Food_Row/condiment_portion_size,/lu_Condiment_Food_Row/condiment_saturated_fats,/lu_Condiment_Food_Row/condiment_solid_fats,/lu_Condiment_Food_Row/condiment_soy,/lu_Condiment_Food_Row/condiment_starchy_vegetables,/lu_Condiment_Food_Row/condiment_vegetables,/lu_Condiment_Food_Row/condiment_whole_grains,/lu_Condiment_Food_Row/display_name,/lu_Condiment_Food_Row/survey_food_code
0,0,73.2,0,0,0,0,0,0.5002,0,0,0,10205,1/2  cup,2.2692,34.78464,0,0,0,0,Whole milk,11111000
0,0,18.3,0,0,0,0,0,0.12505,0,0,0,30000,2 Tablespoons,0.5673,8.69616,0,0,0,0,Whole milk,11111000
0,0,51.24,0,0,0,0,0,0.5002,0,0,0,10205,1/2  cup,0.7686,9.75024,0,0,0,0,1% milk (low fat),11112210
0,0,12.81,0,0,0,0,0,0.12505,0,0,0,30000,2 Tablespoons,0.19215,2.43756,0,0,0,0,1% milk (low fat),11112210
0,0,41.65,0,0,0,0,0,0.4998,0,0,0,10205,1/2  cup,0.147,0,0,0,0,0,Fat free milk (skim),11113000
0,0,10.4125,0,0,0,0,0,0.12495,0,0,0,30000,2 Tablespoons,0.03675,0,0,0,0,0,Fat free milk (skim),11113000
0,0,49,0,0,0,0,0,0,0.27386,0,0,10205,1/2  cup,0.25725,0,0.4998,0,0,0,"Soymilk, plain (calcium fortified)",11320000
0,0,58.5,0,0,0,0,0,0,0,0,0,30000,2 Tbsp,3.606,52.137,0,0,0,0,Light cream (coffee or table cream),12110100
0,0,39.26,0,0,0,0,0,0,0,0,0,30000,2 Tbsp,2.16232,31.257,0,0,0,0,Half & Half,12120100
6.69242,0,103.53,0,0,0,0,0,0,0,0,0,10205,1/4 cup,6.44385,93.20378,0,0,0,0,Whipped cream (sweetened),12140000
13.22425,0,40.8,0,0,0,0,0,0,0,0,0,30000,2 Tbsp,0.582,26.919,0,0,0,0,Coffee Mate creamer (liquid),12210200
10.57648,0,20.7,0,0,0,0,0,0,0,0,0,30000,2 Tbsp,0.27,9.45,0,0,0,0,Coffee Mate Lite creamer (liquid),12210250
0,0,61.525,0,0,0,0,0,0,0,0,0,60597,2 Tbsp,3.75188,54.234,0,0,0,0,Sour cream,12310100
0,0,114.2505,0,0,0,0,0,0.66679,0,0,0,61937,1 slice (1 oz),5.97902,83.35751,0,0,0,0,"Cheese (cheddar, Swiss)",14104010
0,0,50,0,0,0,0,0,0.9999,0,0,0,61937,1 slice (1 oz),0.925,11.21384,0,0,0,0,Low fat cheddar or Swiss,14109030
0,0,50.605,0,0,0,0,0,0,0,0,0,21000,1 Tbsp,3.18565,45.50535,0,0,0,0,Cream cheese (regular),14301010
0,0,34.65,0,0,0,0,0,0,0,0,0,21000,1 Tbsp,1.6635,23.76,0,0,0,0,Low fat cream cheese,14303010
3.62887,0,88.45,0,0,0,0,0,0.53802,0,0,0,10205,2 Tablespoons,4.06565,57.39795,0,0,0,0,Cheese spread or dip,14420100
1.06309,0,66.04,0,0.07176,0,0,0.43434,0,0,0,0.17526,10205,1/4 cup,0.99695,12.64729,0,0,0.17526,0,Chili con carne (with beans),27111410
0.08704,0,47.005,0,0,0,0.30048,0.08032,0.00416,0.02367,0,0.00179,10205,1/4 cup,0.83895,27.3587,0.00476,0,0.00179,0,Chicken gravy,28500000
0.08704,0,47.005,0,0,0,0.30048,0.08032,0.00416,0.02367,0,0.00179,10205,1/4 cup,0.83895,27.3587,0.00476,0,0.00179,0,Turkey gravy,28500000
0.00947,0,30.8725,0,0,0,0.37164,0.09436,0.00058,0.02019,0,0.00117,10205,1/4 cup,0.66988,8.61343,0.00641,0,0.00117,0,Beef gravy,28500040
0,0,53.1,0,0.1446,0.0123,0,0.0999,0,0.39227,0,0.0021,21000,2 Tbsp,0.336,0,0,0,0.0021,0,Hummus,41205070
0,0,101.91,0,0,0,1.00014,0,0,0,0,0,10043,1/2  cup,0.0553,0,0,0,0,0,"White rice, no fat added",56205010
0,0,107.25,0,0,0,1.00035,0,0,0,0,0,10043,1/2  cup,0.16575,0,0,0,0,1.00035,"Brown rice, no fat added",56205110
0,0,125.33,0,0,0,0.68309,0.17098,0,0.7767,0,0.12284,10205,1/2  cup,0.7553,3.60801,0,0.04233,0.16517,0,Fried rice (plain),58150110
0,0,3.8125,0,0,0.06253,0,0,0,0,0,0,30000,1 Tbsp,0,0,0,0,0,0,Lemon juice,61204010
0,0,26.23,0,0,0.2501,0,0,0,0,0,0,10149,1/4 cup,0.0061,0,0,0,0,0,Applesauce (unsweetened),63101120
0,0,91.4525,0,0,0.25,0,0,0,0,0,0.00291,10205,1/4 cup,1.20577,0,0,0,0.00291,0,Guacamole,63409010
0,0,2.016,0,0,0,0,0,0,0,0,0,1025,1 Tbsp,0,0,0,0,0,0,Vinegar,64401000
0,0,3.6,0,0,0,0,0,0,0,0,0.1112,61400,1 slice,0.008,0,0,0,0.1112,0,Tomato (raw),74101000
9.49884,0,14.25,0,0,0,0,0,0,0,0,0.0849,30000,1 Tbsp,0.012,0,0,0,0.0849,0,Ketchup (catsup),74303000
0,0,4.48,0,0,0,0,0,0,0,0,0.10608,21000,1 Tbsp,0.0048,0,0,0,0.10608,0,Salsa,74402100
5.19112,0,23.4375,0,0,0,0.0875,0,0,0.00069,0,0.00625,10205,2 Tablespoons,0.08438,0,0,0,0.00625,0,Barbeque sauce,74406010
3.07136,0,9.76,0,0,0.00688,0,0,0,0.00021,0,0.04864,21000,1 Tbsp,0.0064,0,0,0,0.04864,0,Steak sauce (A-1),74406100
15.65827,0,27.3,0,0,0.01297,0,0,0,0,0,0.125,10205,2 Tablespoons,0.02389,0,0,0,0.125,0,Cocktail sauce,74406500
0,0,0.8,0,0,0,0,0,0,0,0,0.07272,61362,1 leaf,0.0008,0,0,0,0.07272,0,Lettuce,75113000
0,0,6.745,0,0,0,0,0,0,0,0,0.24992,10205,1/4 cup,0.0142,0,0,0,0.24992,0,Sauerkraut (no fat added),75230010
1.31657,0,13,0,0,0,0,0,0,0,0,0.0408,61579,2 tsp,0.006,0,0,0,0.0408,0,Pickle relish,75503020
0,0,3.3,0,0,0,0,0,0,0,0,0,22000,1 tsp,0.008,0,0,0,0,0,Mustard,75506010
0,0,35.85,0,0,0,0,0,0,0,0,0,61632,1 tsp,2.5685,35.85,0,0,0,0,Butter,81101000
0,0,33.55176,0,0,0,0,0,0,0.83723,0,0,21000,1 tsp,0.60777,0,0,0,0,0,Tub margraine,81102020
0,0,17.25,0,0,0,0,0,0,0.43111,0,0,61631,1 tsp,0.385,0,0,0,0,0,Reduced calorie spread (margarine type),81104010
1.45116,0,74.304,0,0,0,0.01771,0.01541,0,1.59626,0,0.00734,21000,1 Tbsp,1.1088,0.54043,0,0,0.00734,0,Tartar sauce,81302050
0,0,29.26,0,0,0,0,0,0,0,0,0.00056,21000,1 Tbsp,1.7766,25.6788,0,0,0.00056,0,Horseradish sauce,81302060
0,0,40,0,0,0,0,0,0,1,0,0,21000,1 tsp,0.57,0,0,0,0,0,Vegetable oil,82101000
1.28571,0,77.112,0,0,0,0,0.03519,0.03106,1.56036,0,0,21000,1 Tbsp,1.5147,7.87506,0,0,0,0,Blue cheese dressing,83101000
8.38784,0,71.292,0,0,0,0,0,0,1.5522,0,0.00406,21000,1 Tbsp,0.8814,0,0,0,0.00406,0,French dressing,83104000
4.33665,0,42.777,0,0,0,0,0,0,0.92617,0,0,21000,1 Tbsp,0.65709,0,0,0,0,0,Italian dressing (oil and vinegar),83106000
0.00673,0,98.946,0,0,0,0,0.02346,0,2.3713,0,0,21000,1 Tbsp,1.63944,0.53033,0,0,0,0,Mayonnaise (regular),83107000
2.9365,0,57.33,0,0,0,0.03793,0.00956,0,1.05647,0,0,21000,1 Tbsp,0.7203,0.62975,0,0,0,0,Miracle whip salad dressing,83110000
2.30093,0,71.442,0,0,0,0,0,0,1.6497,0,0.00191,21000,1 Tbsp,1.12455,2.80079,0,0,0.00191,0,Creamy dressing (ranch),83112500
4.98982,0,23.814,0,0,0,0,0.00081,0.00065,0.3524,0,0.00875,21000,1 Tbsp,0.1296,0.16767,0,0,0.00875,0,Low-calorie salad dressing,83200100
6.20253,0,13.44,0,0,0,0.0752,0,0,0,0,0,21000,1 Tbsp,0.096,3.88368,0,0,0,0,Fat-free mayonnaise-type dressing,83203250
3.42056,0,36.192,0,0,0.00078,0.10015,0.00203,0,0.65277,0,0,21000,1 Tbsp,0.5148,0.19796,0,0,0,0,Low calorie mayonnaise,83204000
16.254,0,16.254,0,0,0,0,0,0,0,0,0,22000,1 tsp,0,0,0,0,0,0,White sugar (granulated or lump),91101010
9.48177,0,9.725,0,0,0,0,0,0,0,0,0,22000,1 tsp,0.0005,0,0,0,0,0,Powdered sugar (confectioner's sugar),91101020
17.14365,0,17.342,0,0,0,0,0,0,0,0,0,22000,1 tsp,0,0,0,0,0,0,Brown sugar,91102010
49.47393,0,53,0,0,0,0,0,0,0.00444,0,0,21000,1 Tbsp,0.004,0,0,0,0,0,Syrup (regular),91300010
63.84,0,63.84,0,0,0,0,0,0,0,0,0,21000,1 Tbsp,0,0,0,0,0,0,Honey,91302010
10.0913,0,14.1,0,0,0,0.0657,0,0,0,0,0,21000,1 Tbsp,0.00015,0,0,0,0,0,Sweet and sour sauce,91361010
27.46698,0,50.54,0,0,0.02432,0,0,0,0,0,0,21000,1 Tbsp,0.0019,0,0,0,0,0,Jelly (all flavors),91401000
0,0,36.6,0,0,0.0753,0,0,0,0,0,0,21000,1 Tbsp,0.012,0,0,0,0,0,All-fruit preserves,91406500
